title,pluot name,year,scraped_brix,Best taste test score (1-9),Average overall score for years it scored 6.0+,Flavor average score (0-5),Bottom 50% attractiveness,Farmer’s market fave,Packing variety,flesh.color,flesh.munsell,flesh.hex,flesh.rhs,skin.color,skin.munsell,skin.hex,skin.rhs,handpicked_brix,Skin color,Flesh color,chill_hrs,notes,Harvest time
Interspecific tree named ‘Flavor Mist’,Flavor Mist,2018,18.5,,,,,,,Color .—Varies from 5Y 8.5/6 to,[],[],[],Color .—Ground color varies from 2.Y 8.5/4 to,[],[],[],,,,,,
,Flavor Queen,1991,18.1,7,,,y,y,,,,,,,,,,18,light green to yellow,golden,400-500,"skin so tender it must be harvested with gloves and can’t be sold to retail stores, slight apricot aftertaste, not pollenized by Flavor King",
Interspecific tree named: ‘Flavor Rouge’,Flavor Rouge,2006,19.2,,,,,,,Color.— Varies from 2.5Y 8/6 near stone to 7.5R 3/10 near skin surface. Pit cavity varies from 10YR 4/6 to 10YR 5/6.,"['2.5Y 8/6', '7.5R 3/10', '10YR 4/6', '10YR 5/6']","['#e7c67b', '#8b1d1e', '#805920', '#805920']",[],"Color.— Ground color varies from 2.5Y 7/6 to 2.5Y 8/6. Overspread with 5R 3/6 to 5R 3/8. Very small, randomly spaced area of ground color showing to skin surface giving a speckling pattern.","['2.5Y 7/6', '2.5Y 8/6', '5R 3/6', '5R 3/8']","['#cdab63', '#e7c67b', '#753336', '#812930']",[],19.2,red,,500,,
,Flavor Royale,2004,17.7,,,,,y,y,,,,,,,,,18,maroon,crimson,500,,
,Flavor Supreme,1989,17,7.7,7,4.2,y,y,,,,,,,,,,17,grey-green with red speckling,Bordeaux,600-700,first Pluot(R),
Interspecific tree named ‘Flavor Treat’,Flavor Treat,2002,19.6,,,,,,,Color .—Light yellow to yellow (4-A-4) to (4-A-6). Pit cavity — grayish orange to brownish orange (5-C-6) to (5-D-6).,[],[],"['4-A-4', '4-A-6', '5-C-6', '5-D-6']","Color .—Butter yellow to maize yellow (4-A-5) to (4-A-6) ground color. Overspread with garnet red to dark maroon (11-E-8) to (11-F-8). Very small, randomly spaced areas of ground color showing, giving a speckling pattern.",[],[],"['4-A-5', '4-A-6', '11-E-8', '11-F-8']",,,,,,
Interspecific tree named ‘Flavorfall’,Flavorfall,2001,17.4,,,,,,y,Color.— Light yellow to maize yellow (4-A-5) to (4-A-6). Pit cavity — cinnamon brown to light brown (6-D-6) to (6-D-8).,[],[],"['4-A-5', '4-A-6', '6-D-6', '6-D-8']","Color.— Light yellow to light orange 4-A-5) to (5-A-4) ground color. Overspread with Madder red to Garnet red (11-B-8) to (11-E-8) except in very small areas, randomly spaced, showing a very light speckling of yellow ground color in some areas of the skin, primarily toward the base of the fruit.",[],[],"['4-A-5', '5-A-4', '11-B-8', '11-E-8']",17,maroon,golden,800,,
Interspecific tree named `Flavorite`,Flavorite,2000,20.1,,,,,,,"Color.--Apricot yellow to light orange (5-A-6) to (6-A-6). Red flesh near skin surface, Bordeaux red to brownish red (11-C-8) to (11-D-8) heavier near apex. Pit cavity -- orange gray to brownish yellow (5-B-6) to (5-B-8).",[],[],"['5-A-6', '6-A-6', '11-C-8', '11-D-8', '5-B-6', '5-B-8']","Color.--Dark yellow to light orange (5-A-8) to (5-B-8) ground color. Overspread with Bordeaux red to garnet red (10-D-8) to (11-E-8) except in small areas, randomly spaced showing a speckling of yellow ground color.",[],[],"['5-A-8', '5-B-8', '10-D-8', '11-E-8']",20,red,,700,,
"Interspecific tree ""Flavorosa"" ",Flavorosa,1998,16,,,,,y,y,Color.--Varies from dark ruby red to dark magenta (11-F-8) to (12-F-7). Pit cavity slightly darker magenta (12-F-8).,[],[],"['11-F-8', '12-F-7', '12-F-8']","Color.--Grayish magenta ground color (14-E-5) showing as small dots near apex on some fruit, overspread with egg plant to blackish violet (14-F-3) to (15-F-4).",[],[],"['14-E-5', '14-F-3', '15-F-4']",16,dark purple,red,400-500,,
Interspecific tree named ‘Flavorzee-290’,Flavorzee-290,2020,20,,,,,,,Color .—Varies from 2.5Y 8.5/6 to 2.5Y 8/8.,['2.5Y 8/8'],['#efc561'],[],Color .—Ground color varies from 2.5Y 7/4 to 5Y 8.5/4. Overspread with 7.5R 2/8 to 7.5R 2/2.,"['2.5Y 7/4', '7.5R 2/8', '7.5R 2/2']","['#c4ac7c', '#62101c', '#422b2b']",[],,,,,,
Interspecific tree named ‘Flavorzee-517’,Flavorzee-517,2021,15.3,,,,,,,Color .—Varies from 5Y 8/4 to 5Y 8/6.,"['5Y 8/4', '5Y 8/6']","['#d8ca92', '#dfca76']",[],Color .—Ground color varies from 5Y 8/6 to 5Y 7/8. Overspread with 7.5R 2/4 to 10R 2/6.,"['5Y 8/6', '5Y 7/8', '7.5R 2/4', '10R 2/6']","['#dfca76', '#c9ae40', '#4e2526', '#581e1a']",[],,,,,,
"Interspecific tree ""Geo Pride"" ",Geo Pride,1998,18,,,,,,,"Color.--Light yellow (4-A-4) near pit cavity, color increases toward surface becoming darker yellow (5-A-5) to pastel red (10-A-4) near skin. Pit cavity -- caramel (6-C-6).",[],[],"['4-A-4', '5-A-5', '10-A-4', '6-C-6']","Color.--Light yellow to yellow ground color (4-A-4) to (4-A-5). Overspread with garnet red to oxblood red (9-D-8) to (9-E-7), except in very small randomly spaced areas exposing a speckling of yellow ground color.",[],[],"['4-A-4', '4-A-5', '9-D-8', '9-E-7']",,,,,,
Interspecific tree named ‘Glory Red’,Glory Red,2013,20,,,,,,,"Color .—Red/yellow, varies from 5R 4/10 to 2.5Y 8/4.","['5R 4/10', '2.5Y 8/4']","['#a83c40', '#dfc895']",[],"Color .—Ground color green/yellow, varies from 2.5Y 6/4 to 2.5Y 7/4. Overspread with 2.5R 3/6 to 5R 2/4.","['2.5Y 6/4', '2.5Y 7/4', '2.5R 3/6', '5R 2/4']","['#a99264', '#c4ac7c', '#75333c', '#4d252a']",[],,,,,,
Interspecific prunus tree named ‘Gypzee’,Gypzee,2009,17,,,,,,,Color. —Varies from 5Y 9/6 to 5Y 8.5/6 with slight bleeding from skin 5R 4/10. Pit cavity color varies from 7.5YR 7/6 to 10YR 7/6.,"['5Y 9/6', '5R 4/10', '7.5YR 7/6', '10YR 7/6']","['#fae58d', '#a83c40', '#d9a570', '#d3a868']",[],"Color. —Ground color varies from 2.5Y 9/4 to 2.5Y 8.5/6. Overspread with 2.5R 2/6. Very small, randomly spaced areas of ground color exposed to give a speckling pattern to surface areas.","['2.5Y 9/4', '2.5R 2/6']","['#fbe3ac', '#571d2e']",[],17,maroon-to-purple,pale,900,,
Interspecific tree named ‘Hermosa’,Hermosa,2017,16,,,,,,,Color .—Varies from 7.5YR 6/12 to 6.25YR 7/12.,"['7.5YR 6/12', '6.25YR 7/12']","[None, None]",[],Color .—Color varies from 2.5YR 6/12 to 5YR 6/10.,"['2.5YR 6/12', '5YR 6/10']","['#e6762e', '#d68034']",[],,,,,,
Interspecific Prunus tree named ‘Honey Punch’,Honey Punch,2008,18.8,7.1,,,,y,y,Color. —Varies from 5R 3/8 to 5R 9/2. Pit cavity varies from 5R 3/4 to 5R 3/8.,"['5R 3/8', '5R 9/2', '5R 3/4', '5R 3/8']","['#812930', '#f3e1df', '#6a3b3b', '#812930']",[],Color. —Ground color varies from 2.5Y 9/4 to 2.5Y 8.5/4. Top color varies from 5R 2/4 to 5R 2/6.,"['2.5Y 9/4', '5R 2/4', '5R 2/6']","['#fbe3ac', '#4d252a', '#581d28']",[],19,red speckled with bloom,golden with red streaks,700-800,,
"Interspecific tree ""Honey Rich"" ",Honey Rich,1998,15,,,,,,,Color.--Orange to persian orange (6-A-7) to 6-B-8). Pit cavity only slightly darker orange (6-C-8).,[],[],"['6-A-7', '6-B-8', '6-C-8']",Color.--Orange to dark orange. (7-B-7) to (7-C-8).,[],[],"['7-B-7', '7-C-8']",,,,,,
Interspecific tree named ‘Kings Kat’,Kings Kat,2017,14.2,,,,,,,Color .—Varies from 5R 3/10 to 10YR 8/2.,"['5R 3/10', '10YR 8/2']","['#8d182b', '#d8c8b1']",[],Color .—Ground color varies from 5YR 5/8 to 7.5Y 5/8. Overspread with 10R 2/6 to 10R 2/4.,"['5YR 5/8', '7.5Y 5/8', '10R 2/6', '10R 2/4']","['#b06931', None, '#581e1a', '#4e2521']",[],,,,,,
Interspecific tree named ‘Kylese’,Kylese,2012,13.2,,,,,,,Color .—Varies from 7.5YR 7/10 to 7.5YR 7/12. Pit cavity varies from 7.5YR 7/10 to 7.5YR 6/12.,"['7.5YR 7/10', '7.5YR 7/12', '7.5YR 7/10', '7.5YR 6/12']","['#eb9f41', '#f39c1c', '#eb9f41', None]",[],Color .—Orange. Ground color 7.5YR 7/10. Overspread with 7.5R 4/10.,"['7.5YR 7/10', '7.5R 4/10']","['#eb9f41', '#a83d34']",[],,,,,,
Interspecific tree named ‘Laguna’,Laguna,2014,12.5,,,,,,,Color.— Varies from 5YR 6/8 to 5YR 6/10.,"['5YR 6/8', '5YR 6/10']","['#cd844b', '#d68034']",[],Color varies from 5YR 5/10 to 5YR 5/12.,"['5YR 5/10', '5YR 5/12']","['#b86619', None]",[],,,,,,
Interspecific tree ‘Late Brittney’,Late Brittney,2008,15.5,,,,,,,Color. —Varies from 10YR 7/10 to 10YR 7/12. Pit cavity varies from 5YR 7/8 to 7.5YR 6/10.,"['10YR 7/10', '10YR 7/12', '5YR 7/8', '7.5YR 6/10']","['#e2a433', '#E6A000', '#e99f65', '#ce8524']",[],"Color. —Varies from 7.5YR 7/10 to 7.5YR 6/14, skin slightly darker where exposed to direct sunlight.","['7.5YR 7/10', '7.5YR 6/14']","['#eb9f41', None]",[],,,,,,
Interspecific tree named ‘Lavish Lacey’,Lavish Lacey,2023,16.5,,,,,,,Color .—Varies from 5R 3/8 to 5R 3/6.,"['5R 3/8', '5R 3/6']","['#812930', '#753336']",[],"Color .—Ground color varies from 2.5Y 8.5/4 to 5Y 8/4. Overspread with 5R 3/6 to 7.5R 3/6. Very small, randomly spaced areas of exposed ground color giving a speckled pattern to the surface.","['5Y 8/4', '5R 3/6', '7.5R 3/6']","['#d8ca92', '#753336', '#75342f']",[],,,,,,
Interspecific tree named ‘Leah Cot’,Leah Cot,2011,18,,,,,,,Color.— Varies from 6.25YR 6/12 to 6.25YR 7/14. Pit cavity varies from 6.25YR 7/14 to 8.75YR 7/12.,"['6.25YR 6/12', '6.25YR 7/14', '6.25YR 7/14', '8.75YR 7/12']","[None, None, None, None]",[],Color.— Ground color varies from 6.25YR 7/12 to 6.25YR 6/12. Overspread with 6.25R 4/12.,"['6.25YR 7/12', '6.25YR 6/12', '6.25R 4/12']","[None, None, None]",[],,,,,,
Interspecific tree named ‘Malibu’,Malibu,2016,17,,,,,,,Color.— Varies from 5YR 6/12 to 7.5YR 7/10.,"['5YR 6/12', '7.5YR 7/10']","['#dd7c14', '#eb9f41']",[],Color.— Ground color varies from 5YR 7/10 to 7.5YR 7/10. Partially overspread with 7.5R 5/8 to 7.5R 5/10.,"['5YR 7/10', '7.5YR 7/10', '7.5R 5/8', '7.5R 5/10']","['#f39b4f', '#eb9f41', '#b96154', '#c6594a']",[],,,,,,
Interspecific tree named ‘NEWROOT-1’,Newroot-1,2011,14,,,,,,,Color. —Varies from 5Y 9/6 to 5GY 8.5/6. Pit cavity varies from 2.5Y 7/8 to 2.5Y 6/10.,"['5Y 9/6', '2.5Y 7/8', '2.5Y 6/10']","['#fae58d', '#d3aa48', None]",[],Color. —Ground color varies from 2.5Y 8.5/8 to 5Y 9/6. Surface color varies from 5R 3/10 to 5R 2/8.,"['5Y 9/6', '5R 3/10', '5R 2/8']","['#fae58d', '#8d182b', '#630d25']",[],,,,,,
Interspecific tree named ‘Newroot-3’,Newroot-3,2015,13.4,,,,,,,Color .—Varies from 2.5Y 8/4 to 2.5Y 8/6.,"['2.5Y 8/4', '2.5Y 8/6']","['#dfc895', '#e7c67b']",[],Color .—Ground color varies from 2.5Y 8.5/6 to 2.5Y 8/6. Overspread with 7.5R 2/2 to 7.5R 3/8.,"['2.5Y 8/6', '7.5R 2/2', '7.5R 3/8']","['#e7c67b', '#422b2b', '#812a27']",[],,,,,,
Interspecific tree named ‘Polar Pride’,Polar Pride,2016,15.2,,,,,,,Color .—Varies from 5R 4/12 to 10Y 9/2.,"['5R 4/12', '10Y 9/2']","['#b22f3a', '#e9e7c4']",[],Color .—Ground color varies from 5Y 8.5/4 to 5Y 9/4. Overspread with 5R 4/10 to 5R 3/10.,"['5Y 9/4', '5R 4/10', '5R 3/10']","['#f4e6a9', '#a83c40', '#8d182b']",[],,,,,,
Interspecific tree named ‘Redondo’,Redondo,2016,20.1,,,,,,,Color .—Varies from 7.5YR 7/12 to 10YR 8/10.,"['7.5YR 7/12', '10YR 8/10']","['#f39c1c', '#FDBD4E']",[],Color .—Color varies from 7.5YR 7/10 to 10YR 7/10.,"['7.5YR 7/10', '10YR 7/10']","['#eb9f41', '#e2a433']",[],,,,,,
Interspecific tree named ‘Rich Magic’,Rich Magic,2017,14.6,,,,,,,Color .—Varies from 5Y 8/8 to 5Y 8/10.,"['5Y 8/8', '5Y 8/10']","['#e4c959', '#e8c935']",[],Color .—Ground color varies from 2.5Y 8.5/10 to 2.5Y 8/10. Overspread with 7.5R 3/10 to 10R 2/4.,"['2.5Y 8/10', '7.5R 3/10', '10R 2/4']","['#f5c342', '#8b1d1e', '#4e2521']",[],,,,,,
Interspecific tree named ‘Royal Treat’,Royal Treat,2003,14.8,,,,,,,Color.— Varies from 7.5Y 9/4 to 7.5Y 9/6. Pit color — 5Y 6/8.,"['7.5Y 9/4', '7.5Y 9/6', '5Y 6/8']","['#f0e7a8', '#f4e88b', '#ae9322']",[],"Color.— Ground color 5Y 8/6 to 5Y 8/8, overspread with 2.5R 2/6 to 5R 2/6. Very small, randomly spaced, areas of ground color exposed to give speckled pattern to skin in some areas.","['5Y 8/6', '5Y 8/8', '2.5R 2/6', '5R 2/6']","['#dfca76', '#e4c959', '#571d2e', '#581d28']",[],,,,,,
Interspecific prunus tree named ‘Ruby Kat’,Ruby Kat,2009,18.6,,,,,,y,Color. —Varies from 5R 4/10 to 7.5R 3/12. Pit cavity varies from 10R 3/6 to 2.5YR 4/6.,"['5R 4/10', '7.5R 3/12', '10R 3/6', '2.5YR 4/6']","['#a83c40', None, '#743529', '#8d5136']",[],Color. —Ground color varies from 5Y 9/4 to 5Y 8/4. Overspread with 2.5R 2/4 to 5R 3/6.,"['5Y 9/4', '5Y 8/4', '2.5R 2/4', '5R 3/6']","['#f4e6a9', '#d8ca92', '#4d252e', '#753336']",[],19,ruby,golden with red streaks,800,,
Interspecific tree named ‘Sangria Red’,Sangria Red,2021,12,,,,,,,Color .—Varies from 5R 3/10 to 7.5R 2/6.,"['5R 3/10', '7.5R 2/6']","['#8d182b', '#581d21']",[],Color .—Ground color varies from 10Y 7/6 to 10Y 6/6. Overspread with 5R 3/10 to 7.5R 2/8. Areas where ground color is exposed giving a speckled appearance,"['10Y 7/6', '10Y 6/6', '5R 3/10', '7.5R 2/8']","['#b7b35d', '#9c9843', '#8d182b', '#62101c']",[],,,,,,
Interspecific Prunus tree named ‘Sangria Red-2’,Sangria Red-2,2021,13,,,,,,,Color .—Varies from 7.5R 3/10 to 5R 4/10.,"['7.5R 3/10', '5R 4/10']","['#8b1d1e', '#a83c40']",[],"Color .—Ground color varies from 10Y 5/6 to 2.5GY 6/4. Overspread with 5R 3/8 to 7.5R 2/8. Very small, randomly spaced areas of ground color exposed to give a speckling pattern to surface areas.","['10Y 5/6', '2.5GY 6/4', '5R 3/8', '7.5R 2/8']","['#817e2a', '#939963', '#812930', '#62101c']",[],,,,,,
Interspecific tree named ‘Seacliff’,Seacliff,2017,14.5,,,,,,,Color .—Varies from 7.5YR 7/10 to 7.5YR 6/12.,"['7.5YR 7/10', '7.5YR 6/12']","['#eb9f41', None]",[],Color .—Varies from 7.5YR 6/8 to 10YR 7/8.,"['7.5YR 6/8', '10YR 7/8']","['#c78741', '#dba650']",[],,,,,,
Interspecific tree named ‘Sherri's Flavor’,Sherri,2018,17.5,,,,,,,Color .—Varies from 2.5Y 8.5/8 to 2.5Y 8/8.,['2.5Y 8/8'],['#efc561'],[],Color .—Ground color varies from 10YR 9/2 to 10YR 8/4. Overspread with 7.5R 2/2 to 5R 2/2.,"['10YR 9/2', '10YR 8/4', '7.5R 2/2', '5R 2/2']","['#f4e3ca', '#e4c599', '#422b2b', '#422b2d']",[],,,,,,
Interspecific tree name ‘Sierra Rose’,Sierra Rose,2003,16,,,,,,,Color 2.5Y 6/6.,['2.5Y 6/6'],['#b19049'],[],"Color.— Ground color 2.5Y 8.5/6, overspread with 7.5RP 2/6 to 7.5RP 2/8. Very small, randomly spaced areas of ground color showing giving a speckled pattern.","['7.5RP 2/6', '7.5RP 2/8']","['#531e38', '#5d113b']",[],,,,,,
Interspecific tree named ‘Spicezee’,Spicezee,2003,13.6,,,,,,,Color .—10Y9/1. Pit cavity — 5R 3/10. Very slight bleeding of red around pit cavity into the flesh.,['5R 3/10'],['#8d182b'],[],"Color .—Ground color 10YR 9/1. Nearly overspread with 5R 3/8 to 7.5R 3/8. Some small areas primarily on base of fruit, showing ground color, leaving a random mottled pattern.","['10YR 9/1', '5R 3/8', '7.5R 3/8']","['#eae2d5', '#812930', '#812a27']",[],,,,,,
Interspecific tree named: ‘Splash’,Splash,2004,18,6.9,6.6,3.9,y,,,Color.— Varies from 2.5Y 9/4 to 2.5Y 8.5/6. Pit cavity varies from 10YR 8/6 to 10YR 7/8.,"['2.5Y 9/4', '10YR 8/6', '10YR 7/8']","['#fbe3ac', '#eec382', '#dba650']",[],"Color.— Uniform, varies from 10YR 8/10 to 10YR 7/10.","['10YR 8/10', '10YR 7/10']","['#FDBD4E', '#e2a433']",[],,,,,,
Interspecific tree named ‘Spring Flavor’,Spring Flavor,2004,11.6,,,,,,,"Color .—Varies from 2.5Y 8/4 to 2.5Y 8/6, slight bleeding of 2.5R 5/8 from skin toward pit cavity. Pit cavity varies from 2.5Y 7/6 to 2.5Y 6/10.","['2.5Y 8/4', '2.5Y 8/6', '2.5R 5/8', '2.5Y 7/6', '2.5Y 6/10']","['#dfc895', '#e7c67b', '#b86068', '#cdab63', None]",[],"Color .—Ground cover varies from 2.5Y 8.5/6 to 2.5Y 8/6. Overspread with 2.5R 2/8 to 5R 3/10. Very small, randomly spaced areas of ground color exposed to skin surface, creating a speckled pattern to skin in some areas.","['2.5Y 8/6', '2.5R 2/8', '5R 3/10']","['#e7c67b', '#610e2e', '#8d182b']",[],12,red-to-maroon,yellow,450-500,,
Interspecific tree named ‘SUNSET DELIGHT’,Sunset Delight,2013,18.5,,,,,,,Color .—Varies from 10YR 7/8 to 2.5Y 8/6.,"['10YR 7/8', '2.5Y 8/6']","['#dba650', '#e7c67b']",[],Color .—Ground color varies from 2.5Y 7/8 to 2.5Y 8.5/4. Overspread with 7.5R 2/6 to 5R 3/8.,"['2.5Y 7/8', '7.5R 2/6', '5R 3/8']","['#d3aa48', '#581d21', '#812930']",[],18.5,red over yellow,,800,,
Interspecific tree named ‘Sunset Plapple’,Sunset Plapple,2018,22,,,,,,,Color .—Varies from 2.5Y 8.5/2 to 5Y 8.5/4.,[],[],[],Color .—Ground color varies from 2.5Y 8.5/6 to 2.5Y 8/4. Overspread with,['2.5Y 8/4'],['#dfc895'],[],,,,,,
Interspecific tree named ‘Sweet Kashel’,Sweet Kashel,2018,16,,,,,,,Color .—Varies from 7.5,[],[],[],"Color .—Ground color varies from 7.5Y 6/6 to 10Y 6/4. Overspread with 5R 2/4 to 7.5R 2/8. Small, randomly spaced areas of ground color showing, leaving a speckled pattern to skin.","['7.5Y 6/6', '10Y 6/4', '5R 2/4', '7.5R 2/8']","['#a39642', '#9a9760', '#4d252a', '#62101c']",[],,,,,,
Interspecific prunus tree named ‘Sweet Pixie 6’,Sweet Pixie 6,2024,26.9,,,,,,,Color .—Varies from 2.5Y 8/10 to 5Y 8/8.,"['2.5Y 8/10', '5Y 8/8']","['#f5c342', '#e4c959']",[],"Color .—Ground color varies from 7.5Y 8/6 to 10Y 8/4.-Overspread with 5R 2/4 to 7.5R 3/8. Very small, randomly spaced areas of ground color exposed to give a speckling pattern to surface areas.","['7.5Y 8/6', '10Y 8/4', '5R 2/4', '7.5R 3/8']","['#d8cc75', '#d0cd91', '#4d252a', '#812a27']",[],,,,,,
Interspecific tree named ‘Tasty Rich’,Tasty Rich,2002,14.2,,,,,,,Color.— Light yellow to light orange (4-A-4) to (5-A-4). Flesh slightly lighter color around pit cavity. Pit cavity — grayish orange (5-B-5).,[],[],"['4-A-4', '5-A-4', '5-B-5']",Color.— Pale orange to light orange (5-A-3) to (5-A-5).,[],[],"['5-A-3', '5-A-5']",,,,,,
Interspecific tree named: ‘Wescot’,Wescot,2006,16.1,,,,,,,Color.— Varies from 6.25YR 7/14 to 6.25YR 7/12. Pit cavity varies from 6.25YR 6/12 to 5YR 6/12.,"['6.25YR 7/14', '6.25YR 7/12', '6.25YR 6/12', '5YR 6/12']","[None, None, None, '#dd7c14']",[],"Color.— Varies from 5YR 6/10 to 5YR 5/12, surface exposed to direct sunlight varies from 10R 5/12 to 10R 5/14.","['5YR 6/10', '5YR 5/12', '10R 5/12', '10R 5/14']","['#d68034', None, '#ce5427', '#d74c12']",[],,,,,,
